date,temp_min,temp_med,temp_max,precipitation,weekend,consumption
09-03-15,19.7,21.36,23.3,77,0,20016
10-03-15,21.2,23.12,26.9,9.7,0,23042
11-03-15,20.1,22.88,28.1,9.5,0,22933
12-03-15,19.2,22.26,26.9,1.2,0,22409
13-03-15,20,22.34,26.6,0,0,21281
14-03-15,19.9,22.88,27.9,12.2,1,28844
15-03-15,19.1,22.08,26.8,0.3,1,32872
16-03-15,18.6,21.92,29.4,22.4,0,20903
17-03-15,18.6,21.92,25.6,24.2,0,26275
18-03-15,19.7,21.24,24.1,0,0,20167
19-03-15,19.2,21.78,27.1,3.2,0,23628
20-03-15,18.9,21.64,28.2,7.4,0,24213
21-03-15,18.5,20.88,25.3,14.7,1,28631
22-03-15,18.1,19.7,22.8,1.7,1,25855
23-03-15,17.1,19.88,23.3,19.2,0,21406
24-03-15,17.4,20.98,26.3,0,0,21617
25-03-15,17.1,21.56,27.9,0,0,22401
26-03-15,18.3,22.98,29.8,0,0,27989
27-03-15,18,23.32,30.8,0,0,24974
28-03-15,19.1,23.28,29.5,0,1,29760
29-03-15,20.5,22.14,26.6,0,1,26116
30-03-15,19,22.5,25.9,18.6,0,25850
31-03-15,20.1,23.14,29,1,0,24925
01-04-15,19.2,22.52,27.5,0,0,21979
02-04-15,18.2,20.92,26.2,0,0,22116
03-04-15,16.3,21.02,27.2,0,0,24867
04-04-15,17.9,22.36,29.4,0,1,33450
05-04-15,20.1,22.82,26.4,0,1,32713
06-04-15,18.5,21.36,27.7,0,0,22356
07-04-15,16.1,17.38,20,7.1,0,21004
08-04-15,14.7,18.68,24.3,0.4,0,23362
09-04-15,15.9,19.4,25.6,0,0,20298
10-04-15,17,20.46,25.5,0,0,24862
11-04-15,17.2,21.74,28.4,0,1,30505
12-04-15,16.8,19.92,25.7,0,1,25070
13-04-15,18.1,20.88,25.7,0,0,22620
14-04-15,18.4,21.7,28.8,0,0,22001
15-04-15,18.5,21.94,27.4,0,0,23469
16-04-15,18.6,21.26,26.7,25.4,0,21735
17-04-15,18.4,21.42,27,37.2,0,21593
18-04-15,18.2,23.36,29.3,0,1,33822
19-04-15,20.3,22.5,27.2,0,1,28028
20-04-15,19.3,24,29.2,20.2,0,24304
21-04-15,19.3,22.52,29,0,0,31108
22-04-15,18.9,20.06,21.6,2.4,0,19113
23-04-15,18.6,21.2,24.9,14.6,0,23198
24-04-15,19.3,22.52,28.1,0,0,24388
25-04-15,17.4,19.18,23.3,0,1,27420
26-04-15,16.1,19.04,23.7,0.8,1,30479
27-04-15,17.5,19.82,24.9,0,0,21838
28-04-15,17.2,20.26,26.9,0,0,20812
29-04-15,16.8,18.66,22.7,0,0,19761
30-04-15,14.7,16.22,18.7,0,0,20452
01-05-15,13.4,17.34,22,0,0,17939
02-05-15,14.7,19.26,26.4,0,1,25272
03-05-15,15.8,21.04,26.3,0,1,28049
04-05-15,17.9,19.96,22.3,1,0,25317
05-05-15,16.6,18.14,20.8,9.9,0,21826
06-05-15,15.9,17.76,20.4,0,0,20680
07-05-15,15.8,17.8,21.7,0,0,19143
08-05-15,13.9,16.14,19.2,0,0,18146
09-05-15,13.7,18.04,26.1,0,1,25489
10-05-15,13.7,16.94,21,0,1,23537
11-05-15,15.7,17.86,20.6,22.2,0,16956
12-05-15,14.2,17.12,21.7,0,0,19052
13-05-15,14.7,16.34,18.9,2.8,0,17287
14-05-15,14.2,16.72,21,0,0,20300
15-05-15,13.6,16.84,21.5,0,0,20538
16-05-15,13.2,17.18,22.3,0,1,23702
17-05-15,15.4,18.26,22.4,0,1,28411
18-05-15,16.6,18.6,21.3,0,0,21073
19-05-15,17,18.64,22.9,0,0,24215
20-05-15,15.9,18.74,23.3,0.2,0,19525
21-05-15,16.3,19.46,25,0,0,20786
22-05-15,16.3,20.26,25.4,0,0,20429
23-05-15,15.9,19.94,24.4,0,1,27250
24-05-15,17.9,21.8,26.3,0,1,31387
25-05-15,17.5,22.06,27.4,0,0,26075
26-05-15,19.7,21.28,24.8,0,0,22162
27-05-15,19.7,22.94,27.1,0,0,24258
28-05-15,16.8,18.56,23.2,1.8,0,24683
29-05-15,15.3,17.68,21.9,7.2,0,21245
30-05-15,13.1,17.52,22.9,0,1,25937
31-05-15,13.6,16.28,18.4,5.6,1,26081
01-06-15,15.2,16.28,18,2.2,0,16228
02-06-15,15,16.04,17.5,0.5,0,20106
03-06-15,15,17.94,21.7,0,0,21055
04-06-15,14.6,18.36,24.1,0,0,22772
05-06-15,14.1,18.32,25.3,0,0,25142
06-06-15,13.8,19.66,26.1,0,1,31129
07-06-15,15.9,20.62,26.2,0,1,30498
08-06-15,15.2,20.86,26.4,0,0,26150
09-06-15,15.2,20.32,26,0,0,21327
10-06-15,15.5,20.54,26.2,0,0,22008
11-06-15,17.5,22.72,26.9,0,0,24615
12-06-15,16.9,18.8,23.5,0,0,22375
13-06-15,15.5,21.1,27.4,0,1,29607
14-06-15,18.1,22.76,27.3,0,1,32983
15-06-15,13.1,16.02,23.4,0,0,19119
16-06-15,12.1,14.82,18.1,9,0,21029
17-06-15,13.9,19.8,25.1,0,0,23898
18-06-15,15.8,19.88,26.2,0,0,24534
19-06-15,13.2,14.66,17.7,3.8,0,16748
20-06-15,12.5,15.82,20.4,0,1,23055
21-06-15,12.6,17.32,24.6,0,1,28857
22-06-15,13.1,18.54,24.6,0,0,23022
23-06-15,14.4,19.02,25.5,0,0,27146
24-06-15,13.9,14.54,18,3.8,0,17241
25-06-15,12.1,14.72,17.4,1,0,19463
26-06-15,12,15.26,20.9,0,0,21860
27-06-15,10.6,15.34,20.8,0,1,24227
28-06-15,11.2,15.48,21.8,0,1,27594
29-06-15,11,17.2,24.4,0,0,24863
30-06-15,13.2,19.36,25.1,0,0,20161
01-07-15,16.2,17.78,20.5,0,0,20824
02-07-15,15.1,17.2,19.9,1.6,0,19727
03-07-15,15.6,17.52,18.4,17.8,0,14940
04-07-15,10.9,14.94,21,15.2,1,24632
05-07-15,11,12.9,14.5,4.4,1,21294
06-07-15,11.3,15.78,20.6,0,0,18448
07-07-15,13.3,16.8,20.2,0,0,21237
08-07-15,14.9,17.02,18.7,4.5,0,19849
09-07-15,15.3,17.54,20.4,0,0,20740
10-07-15,14,19.24,25.4,0,0,25698
11-07-15,16,17.46,19.8,0,1,26691
12-07-15,14,20.32,27.4,3,1,33298
13-07-15,16.7,22.06,28.7,0,0,25640
14-07-15,18.4,23.3,29.3,0,0,23937
15-07-15,17.2,20.18,27.6,0,0,28742
16-07-15,16.2,19.88,25.8,0,0,21748
17-07-15,15.8,19.14,24.3,0,0,22032
18-07-15,18.2,20.2,23.8,0,1,24827
19-07-15,14.6,19.98,25.9,0,1,32473
20-07-15,14.9,20.56,25.1,0,0,20620
21-07-15,14,16.72,21.4,0,0,21825
22-07-15,12.8,14.52,16.1,0,0,14343
23-07-15,13.6,17.02,20.6,0,0,19029
24-07-15,14.3,18.46,25.8,0,0,21104
25-07-15,14.9,15.9,17.9,16.6,1,20738
26-07-15,13.6,16.82,22.9,2,1,25233
27-07-15,11,16.6,24.2,0,0,18975
28-07-15,11.6,16.46,24.5,0,0,19640
29-07-15,11,16.2,23.8,0,0,22522
30-07-15,11.3,16.76,26.7,0,0,24227
31-07-15,12.8,19.24,26.6,0,0,24726
01-08-15,14.3,19.78,26.4,0,1,32467
02-08-15,13.8,20.1,26.3,0,1,31663
03-08-15,14.9,21.16,26.9,0,0,25867
04-08-15,15.2,21.04,27.4,0,0,27724
05-08-15,15,20.96,27.2,0,0,22039
06-08-15,16.3,21.06,27.7,0,0,26127
07-08-15,15.5,22.08,28.9,0,0,26580
08-08-15,16,21.16,27.8,0,1,31310
09-08-15,15.6,19.62,26.2,0,1,33517
10-08-15,15.6,21.2,28,0,0,23181
11-08-15,15.2,19.6,27.2,0,0,24183
12-08-15,14.1,20.12,26.6,0,0,24594
13-08-15,14.1,20.42,28.1,0,0,22610
14-08-15,15.3,20.86,27.6,0,0,25479
15-08-15,15.6,21.44,27.8,0,1,29621
16-08-15,16.2,20.56,27.2,0,1,26272
17-08-15,15.3,21.58,28,0,0,22541
18-08-15,16.7,21.3,26.5,0,0,23070
19-08-15,17.3,20.74,28.3,0,0,26021
20-08-15,14.8,16.2,19.6,0,0,17655
21-08-15,13.2,16.84,22.1,1,0,23243
22-08-15,14.1,18.08,26.2,0,1,30177
23-08-15,13.5,20.22,30,0,1,27518
24-08-15,15.1,16.98,20.5,0,0,23210
25-08-15,14.3,16.98,20.5,2.4,0,21092
26-08-15,14.8,18.92,24,0.6,0,23357
27-08-15,13.8,16.1,19.8,2.6,0,17888
28-08-15,12.8,16.28,22.1,25,0,22217
29-08-15,12.2,18.46,26.7,0,1,31681
30-08-15,14.3,22.52,32,0,1,31833
31-08-15,16.6,24.54,32.2,0,0,28441
01-09-15,17.2,21.44,30.7,0,0,22389
02-09-15,14.1,16.1,20.2,0.4,0,20681
03-09-15,14.8,19.3,25,0,0,24222
04-09-15,15.2,16.66,19.3,0,0,19345
05-09-15,14.4,16.12,18.5,2.4,1,21827
06-09-15,13.3,16.48,19.9,0,1,23566
07-09-15,13.8,18.72,24.4,0.1,0,20227
08-09-15,15.8,17.08,19.2,23.6,0,17075
09-09-15,15.8,18.82,22.9,58,0,16977
10-09-15,13.9,18.92,25.6,0,0,21525
11-09-15,14.1,16.88,21.8,31.8,0,21454
12-09-15,12.8,14,15.6,27.6,1,21814
13-09-15,12.5,14.18,16.1,0,1,21252
14-09-15,13,16.46,22.5,0.2,0,20464
15-09-15,14.4,21.18,30.1,0,0,30775
16-09-15,17.2,25.24,32.6,0,0,25343
17-09-15,20.4,27.26,33,0,0,33930
18-09-15,21.3,28.06,34.5,0,0,26311
19-09-15,21.1,28,35.5,0,1,31836
20-09-15,19.2,23.6,33.3,0,1,34695
21-09-15,17.4,24.72,32.8,0,0,29829
22-09-15,18.9,25.7,33.3,0,0,26362
23-09-15,18.3,26.14,34,0,0,32589
24-09-15,20.5,28.3,35.3,0,0,30345
25-09-15,19.2,23.24,30.3,0,0,29411
26-09-15,18.2,20.58,24.9,28.6,1,29637
27-09-15,18.2,22.3,30.6,1.8,1,32184
28-09-15,17.5,21.22,23.6,27.2,0,17731
29-09-15,17.5,21.8,27.1,0,0,24114
30-09-15,18.6,21.52,27.6,0,0,28034
01-10-15,17.6,20.96,26.4,7.6,0,22664
02-10-15,19.3,24.74,32.7,0,0,27488
03-10-15,16.1,20.28,25,25,1,24876
04-10-15,17.1,18.6,21.3,0.2,1,24862
05-10-15,14.8,17.36,22.4,0,0,24679
06-10-15,14.6,18.26,24.7,0,0,22304
07-10-15,15.9,24.5,32.6,0,0,30329
08-10-15,19.3,26.56,34,0,0,33182
09-10-15,19.8,24.52,29,0,0,23849
10-10-15,19.6,23.06,28,0.3,1,33330
11-10-15,19.6,22.48,30,0,1,34496
12-10-15,19,22.76,29.6,0,0,26249
13-10-15,18.1,21.4,27.6,2.4,0,26523
14-10-15,18.2,23.62,28.5,0,0,26793
15-10-15,18.9,28.12,35.8,0,0,35861
16-10-15,21.3,26.24,35.7,0,0,27387
17-10-15,17.3,21.22,29.2,0,1,32666
18-10-15,15.5,16.76,19.2,0.1,1,22199
19-10-15,15.5,19.86,27.2,0,0,24000
20-10-15,17.2,26.3,35.3,0,0,27871
21-10-15,21.3,24.62,32,0,0,31139
22-10-15,17.7,19.9,22.8,14.6,0,23065
23-10-15,17.6,20.5,27.3,13.4,0,26594
24-10-15,16.2,17.94,21.2,0,1,27657
25-10-15,15.7,17.64,19.2,0,1,26594
26-10-15,16,20.86,28.5,28.4,0,28084
27-10-15,19.1,22,28.4,0.1,0,27582
28-10-15,18.6,20.42,23.9,0,0,24862
29-10-15,18.2,20.56,24.8,0,0,22634
30-10-15,19.1,23.86,31.2,0,0,31649
31-10-15,18.2,23.18,29.3,0,1,35781
01-11-15,18.7,20.22,22.4,27.2,1,24429
02-11-15,18.3,21.82,27.2,39.6,0,20648
03-11-15,19.5,21.86,25.6,3.4,0,22741
04-11-15,18.6,21.52,27.4,6.8,0,21479
05-11-15,18.2,21.8,24.8,39.3,0,23134
06-11-15,18,19.76,22.8,0,0,20575
07-11-15,16.8,18.3,20,1.2,1,24330
08-11-15,17.4,20.24,23.9,0.6,1,28610
09-11-15,18.7,22.98,29.5,4.4,0,28456
10-11-15,19.4,23.72,31.8,10.4,0,27964
11-11-15,19.8,26.2,32.7,0,0,29569
12-11-15,20.8,23.78,31.8,0,0,29267
13-11-15,19.4,22.78,29.6,0,0,28647
14-11-15,19.5,25.06,30.4,16.4,1,26836
15-11-15,19.8,23.06,29.7,8,1,29386
16-11-15,19.4,21.16,24.9,0,0,24609
17-11-15,17.7,21.76,29.7,0,0,26964
18-11-15,17.6,25.5,30.5,14.1,0,23614
19-11-15,23.3,26.16,30.4,0,0,22960
20-11-15,19.6,23.28,27,6.8,0,20332
21-11-15,17.2,19.44,24.4,7.2,1,30392
22-11-15,17.1,22.26,28.8,0,1,31933
23-11-15,19.6,20.8,23.6,13.6,0,21662
24-11-15,19.3,21.36,22.6,7,0,21689
25-11-15,19.3,21.26,24.8,0.4,0,25119
26-11-15,19,22.28,27.4,0,0,25285
27-11-15,17.6,22.28,28.4,0,0,28979
28-11-15,18.7,23.7,29.8,0,1,34382
29-11-15,20.5,22.38,26,17.4,1,30617
30-11-15,16.7,19.1,23.3,23.4,0,20238
01-12-15,16.4,20.1,25.8,0,0,24529
02-12-15,18.2,22.1,29.4,0,0,30471
03-12-15,20.2,22.44,26.1,0,0,28405
04-12-15,19,22.76,29.1,0,0,29513
05-12-15,19.5,24.8,30.6,0.1,1,32451
06-12-15,20.6,23.12,28,0.1,1,32780
07-12-15,18,20.04,23.9,47.8,0,23375
08-12-15,18,21.7,28,0,0,27713
09-12-15,19.6,23.96,27.9,0,0,27137
10-12-15,22.2,24,27.7,0,0,22933
11-12-15,20.7,24.04,30.3,0,0,30740
12-12-15,20.6,23.92,30.8,0,1,29579
13-12-15,19.3,24.54,31,12.2,1,29188
14-12-15,21.1,26.28,32.5,2,0,28131
15-12-15,20.6,25.66,32.8,4,0,28617
16-12-15,20.7,22.04,24.8,1.5,0,21062
17-12-15,18.9,23.32,28.7,0,0,24337
18-12-15,19.6,26.42,33.5,0.1,0,27042
19-12-15,19.8,23.74,31.3,1.3,1,32536
20-12-15,19.6,22.84,29,8.4,1,30127
21-12-15,19.6,23.12,29.1,27.2,0,24834
22-12-15,19.6,24.6,32.4,43,0,26828
23-12-15,22.1,27.46,32.4,3,0,26468
24-12-15,20.5,24.72,31.5,3.4,0,31572
25-12-15,17.8,23.58,31,39,0,26308
26-12-15,17.8,23.34,29.8,94.8,1,21955
27-12-15,21.1,24,28.2,13.6,1,32307
28-12-15,21.1,22.64,26.7,0,0,26095
29-12-15,20.3,21.68,24.1,10.3,0,22309
30-12-15,19.3,21.38,22.4,6.3,0,20467
31-12-15,20.2,24.76,29,0,0,22446
