day_of_year,month,day_of_week,temp_max,precipitation,precip_cat,weekend,consumption
49,2,4,26.4,13.4,1,0,21392
50,2,5,28.5,2.4,0,0,22922
51,2,6,28.2,0,0,0,24567
52,2,7,31.1,0,0,1,30943
53,2,1,30.8,0,0,1,30825
54,2,2,31.4,0,0,0,25692
55,2,3,31.9,0,0,0,26959
56,2,4,29.3,2,0,0,25366
57,2,5,30.3,34.4,1,0,22784
58,2,6,31.4,0.6,0,0,26241
59,2,7,27.7,0,0,1,26467
60,3,1,26.3,3,0,1,27475
61,3,2,29.2,0,0,0,28749
62,3,3,29.5,0,0,0,24146
63,3,4,30.5,0,0,0,22988
64,3,5,31.6,0,0,0,30300
65,3,6,28.5,0,0,0,22654
66,3,7,26.6,38.2,1,1,29090
67,3,1,24.4,69.2,1,1,24619
68,3,2,23.3,77,1,0,20016
69,3,3,26.9,9.7,1,0,23042
70,3,4,28.1,9.5,1,0,22933
71,3,5,26.9,1.2,0,0,22409
72,3,6,26.6,0,0,0,21281
73,3,7,27.9,12.2,1,1,28844
74,3,1,26.8,0.3,0,1,32872
75,3,2,29.4,22.4,1,0,20903
76,3,3,25.6,24.2,1,0,26275
77,3,4,24.1,0,0,0,20167
78,3,5,27.1,3.2,0,0,23628
79,3,6,28.2,7.4,1,0,24213
80,3,7,25.3,14.7,1,1,28631
81,3,1,22.8,1.7,0,1,25855
82,3,2,23.3,19.2,1,0,21406
83,3,3,26.3,0,0,0,21617
84,3,4,27.9,0,0,0,22401
85,3,5,29.8,0,0,0,27989
86,3,6,30.8,0,0,0,24974
87,3,7,29.5,0,0,1,29760
88,3,1,26.6,0,0,1,26116
89,3,2,25.9,18.6,1,0,25850
90,3,3,29,1,0,0,24925
91,4,4,27.5,0,0,0,21979
92,4,5,26.2,0,0,0,22116
93,4,6,27.2,0,0,0,24867
94,4,7,29.4,0,0,1,33450
95,4,1,26.4,0,0,1,32713
96,4,2,27.7,0,0,0,22356
97,4,3,20,7.1,1,0,21004
98,4,4,24.3,0.4,0,0,23362
99,4,5,25.6,0,0,0,20298
100,4,6,25.5,0,0,0,24862
101,4,7,28.4,0,0,1,30505
102,4,1,25.7,0,0,1,25070
103,4,2,25.7,0,0,0,22620
104,4,3,28.8,0,0,0,22001
105,4,4,27.4,0,0,0,23469
106,4,5,26.7,25.4,1,0,21735
107,4,6,27,37.2,1,0,21593
108,4,7,29.3,0,0,1,33822
109,4,1,27.2,0,0,1,28028
110,4,2,29.2,20.2,1,0,24304
111,4,3,29,0,0,0,31108
112,4,4,21.6,2.4,0,0,19113
113,4,5,24.9,14.6,1,0,23198
114,4,6,28.1,0,0,0,24388
115,4,7,23.3,0,0,1,27420
116,4,1,23.7,0.8,0,1,30479
117,4,2,24.9,0,0,0,21838
118,4,3,26.9,0,0,0,20812
119,4,4,22.7,0,0,0,19761
120,4,5,18.7,0,0,0,20452
121,5,6,22,0,0,0,17939
122,5,7,26.4,0,0,1,25272
123,5,1,26.3,0,0,1,28049
124,5,2,22.3,1,0,0,25317
125,5,3,20.8,9.9,1,0,21826
126,5,4,20.4,0,0,0,20680
127,5,5,21.7,0,0,0,19143
128,5,6,19.2,0,0,0,18146
129,5,7,26.1,0,0,1,25489
130,5,1,21,0,0,1,23537
131,5,2,20.6,22.2,1,0,16956
132,5,3,21.7,0,0,0,19052
133,5,4,18.9,2.8,0,0,17287
134,5,5,21,0,0,0,20300
135,5,6,21.5,0,0,0,20538
136,5,7,22.3,0,0,1,23702
137,5,1,22.4,0,0,1,28411
138,5,2,21.3,0,0,0,21073
139,5,3,22.9,0,0,0,24215
140,5,4,23.3,0.2,0,0,19525
141,5,5,25,0,0,0,20786
142,5,6,25.4,0,0,0,20429
143,5,7,24.4,0,0,1,27250
144,5,1,26.3,0,0,1,31387
145,5,2,27.4,0,0,0,26075
146,5,3,24.8,0,0,0,22162
147,5,4,27.1,0,0,0,24258
148,5,5,23.2,1.8,0,0,24683
149,5,6,21.9,7.2,1,0,21245
150,5,7,22.9,0,0,1,25937
151,5,1,18.4,5.6,1,1,26081
152,6,2,18,2.2,0,0,16228
153,6,3,17.5,0.5,0,0,20106
154,6,4,21.7,0,0,0,21055
155,6,5,24.1,0,0,0,22772
156,6,6,25.3,0,0,0,25142
157,6,7,26.1,0,0,1,31129
158,6,1,26.2,0,0,1,30498
159,6,2,26.4,0,0,0,26150
160,6,3,26,0,0,0,21327
161,6,4,26.2,0,0,0,22008
162,6,5,26.9,0,0,0,24615
163,6,6,23.5,0,0,0,22375
164,6,7,27.4,0,0,1,29607
165,6,1,27.3,0,0,1,32983
166,6,2,23.4,0,0,0,19119
167,6,3,18.1,9,1,0,21029
168,6,4,25.1,0,0,0,23898
169,6,5,26.2,0,0,0,24534
170,6,6,17.7,3.8,0,0,16748
171,6,7,20.4,0,0,1,23055
172,6,1,24.6,0,0,1,28857
173,6,2,24.6,0,0,0,23022
174,6,3,25.5,0,0,0,27146
175,6,4,18,3.8,0,0,17241
176,6,5,17.4,1,0,0,19463
177,6,6,20.9,0,0,0,21860
178,6,7,20.8,0,0,1,24227
179,6,1,21.8,0,0,1,27594
180,6,2,24.4,0,0,0,24863
181,6,3,25.1,0,0,0,20161
182,7,4,20.5,0,0,0,20824
183,7,5,19.9,1.6,0,0,19727
184,7,6,18.4,17.8,1,0,14940
185,7,7,21,15.2,1,1,24632
186,7,1,14.5,4.4,0,1,21294
187,7,2,20.6,0,0,0,18448
188,7,3,20.2,0,0,0,21237
189,7,4,18.7,4.5,0,0,19849
190,7,5,20.4,0,0,0,20740
191,7,6,25.4,0,0,0,25698
192,7,7,19.8,0,0,1,26691
193,7,1,27.4,3,0,1,33298
194,7,2,28.7,0,0,0,25640
195,7,3,29.3,0,0,0,23937
196,7,4,27.6,0,0,0,28742
197,7,5,25.8,0,0,0,21748
198,7,6,24.3,0,0,0,22032
199,7,7,23.8,0,0,1,24827
200,7,1,25.9,0,0,1,32473
201,7,2,25.1,0,0,0,20620
202,7,3,21.4,0,0,0,21825
203,7,4,16.1,0,0,0,14343
204,7,5,20.6,0,0,0,19029
205,7,6,25.8,0,0,0,21104
206,7,7,17.9,16.6,1,1,20738
207,7,1,22.9,2,0,1,25233
208,7,2,24.2,0,0,0,18975
209,7,3,24.5,0,0,0,19640
210,7,4,23.8,0,0,0,22522
211,7,5,26.7,0,0,0,24227
212,7,6,26.6,0,0,0,24726
213,8,7,26.4,0,0,1,32467
214,8,1,26.3,0,0,1,31663
215,8,2,26.9,0,0,0,25867
216,8,3,27.4,0,0,0,27724
217,8,4,27.2,0,0,0,22039
218,8,5,27.7,0,0,0,26127
219,8,6,28.9,0,0,0,26580
220,8,7,27.8,0,0,1,31310
221,8,1,26.2,0,0,1,33517
222,8,2,28,0,0,0,23181
223,8,3,27.2,0,0,0,24183
224,8,4,26.6,0,0,0,24594
225,8,5,28.1,0,0,0,22610
226,8,6,27.6,0,0,0,25479
227,8,7,27.8,0,0,1,29621
228,8,1,27.2,0,0,1,26272
229,8,2,28,0,0,0,22541
230,8,3,26.5,0,0,0,23070
231,8,4,28.3,0,0,0,26021
232,8,5,19.6,0,0,0,17655
233,8,6,22.1,1,0,0,23243
234,8,7,26.2,0,0,1,30177
235,8,1,30,0,0,1,27518
236,8,2,20.5,0,0,0,23210
237,8,3,20.5,2.4,0,0,21092
238,8,4,24,0.6,0,0,23357
239,8,5,19.8,2.6,0,0,17888
240,8,6,22.1,25,1,0,22217
241,8,7,26.7,0,0,1,31681
242,8,1,32,0,0,1,31833
243,8,2,32.2,0,0,0,28441
244,9,3,30.7,0,0,0,22389
245,9,4,20.2,0.4,0,0,20681
246,9,5,25,0,0,0,24222
247,9,6,19.3,0,0,0,19345
248,9,7,18.5,2.4,0,1,21827
249,9,1,19.9,0,0,1,23566
250,9,2,24.4,0.1,0,0,20227
251,9,3,19.2,23.6,1,0,17075
252,9,4,22.9,58,1,0,16977
253,9,5,25.6,0,0,0,21525
254,9,6,21.8,31.8,1,0,21454
255,9,7,15.6,27.6,1,1,21814
256,9,1,16.1,0,0,1,21252
257,9,2,22.5,0.2,0,0,20464
258,9,3,30.1,0,0,0,30775
259,9,4,32.6,0,0,0,25343
260,9,5,33,0,0,0,33930
261,9,6,34.5,0,0,0,26311
262,9,7,35.5,0,0,1,31836
263,9,1,33.3,0,0,1,34695
264,9,2,32.8,0,0,0,29829
265,9,3,33.3,0,0,0,26362
266,9,4,34,0,0,0,32589
267,9,5,35.3,0,0,0,30345
268,9,6,30.3,0,0,0,29411
269,9,7,24.9,28.6,1,1,29637
270,9,1,30.6,1.8,0,1,32184
271,9,2,23.6,27.2,1,0,17731
272,9,3,27.1,0,0,0,24114
273,9,4,27.6,0,0,0,28034
274,10,5,26.4,7.6,1,0,22664
275,10,6,32.7,0,0,0,27488
276,10,7,25,25,1,1,24876
277,10,1,21.3,0.2,0,1,24862
278,10,2,22.4,0,0,0,24679
279,10,3,24.7,0,0,0,22304
280,10,4,32.6,0,0,0,30329
281,10,5,34,0,0,0,33182
282,10,6,29,0,0,0,23849
283,10,7,28,0.3,0,1,33330
284,10,1,30,0,0,1,34496
285,10,2,29.6,0,0,0,26249
286,10,3,27.6,2.4,0,0,26523
287,10,4,28.5,0,0,0,26793
288,10,5,35.8,0,0,0,35861
289,10,6,35.7,0,0,0,27387
290,10,7,29.2,0,0,1,32666
291,10,1,19.2,0.1,0,1,22199
292,10,2,27.2,0,0,0,24000
293,10,3,35.3,0,0,0,27871
294,10,4,32,0,0,0,31139
295,10,5,22.8,14.6,1,0,23065
296,10,6,27.3,13.4,1,0,26594
297,10,7,21.2,0,0,1,27657
298,10,1,19.2,0,0,1,26594
299,10,2,28.5,28.4,1,0,28084
300,10,3,28.4,0.1,0,0,27582
301,10,4,23.9,0,0,0,24862
302,10,5,24.8,0,0,0,22634
303,10,6,31.2,0,0,0,31649
304,10,7,29.3,0,0,1,35781
305,11,1,22.4,27.2,1,1,24429
306,11,2,27.2,39.6,1,0,20648
307,11,3,25.6,3.4,0,0,22741
308,11,4,27.4,6.8,1,0,21479
309,11,5,24.8,39.3,1,0,23134
310,11,6,22.8,0,0,0,20575
311,11,7,20,1.2,0,1,24330
312,11,1,23.9,0.6,0,1,28610
313,11,2,29.5,4.4,0,0,28456
314,11,3,31.8,10.4,1,0,27964
315,11,4,32.7,0,0,0,29569
316,11,5,31.8,0,0,0,29267
317,11,6,29.6,0,0,0,28647
318,11,7,30.4,16.4,1,1,26836
319,11,1,29.7,8,1,1,29386
320,11,2,24.9,0,0,0,24609
321,11,3,29.7,0,0,0,26964
322,11,4,30.5,14.1,1,0,23614
323,11,5,30.4,0,0,0,22960
324,11,6,27,6.8,1,0,20332
325,11,7,24.4,7.2,1,1,30392
326,11,1,28.8,0,0,1,31933
327,11,2,23.6,13.6,1,0,21662
328,11,3,22.6,7,1,0,21689
329,11,4,24.8,0.4,0,0,25119
330,11,5,27.4,0,0,0,25285
331,11,6,28.4,0,0,0,28979
332,11,7,29.8,0,0,1,34382
333,11,1,26,17.4,1,1,30617
334,11,2,23.3,23.4,1,0,20238
335,12,3,25.8,0,0,0,24529
336,12,4,29.4,0,0,0,30471
337,12,5,26.1,0,0,0,28405
338,12,6,29.1,0,0,0,29513
339,12,7,30.6,0.1,0,1,32451
340,12,1,28,0.1,0,1,32780
341,12,2,23.9,47.8,1,0,23375
342,12,3,28,0,0,0,27713
343,12,4,27.9,0,0,0,27137
344,12,5,27.7,0,0,0,22933
345,12,6,30.3,0,0,0,30740
346,12,7,30.8,0,0,1,29579
347,12,1,31,12.2,1,1,29188
348,12,2,32.5,2,0,0,28131
349,12,3,32.8,4,0,0,28617
350,12,4,24.8,1.5,0,0,21062
351,12,5,28.7,0,0,0,24337
352,12,6,33.5,0.1,0,0,27042
353,12,7,31.3,1.3,0,1,32536
354,12,1,29,8.4,1,1,30127
355,12,2,29.1,27.2,1,0,24834
356,12,3,32.4,43,1,0,26828
357,12,4,32.4,3,0,0,26468
358,12,5,31.5,3.4,0,0,31572
359,12,6,31,39,1,0,26308
360,12,7,29.8,94.8,1,1,21955
361,12,1,28.2,13.6,1,1,32307
362,12,2,26.7,0,0,0,26095
363,12,3,24.1,10.3,1,0,22309
364,12,4,22.4,6.3,1,0,20467
365,12,5,29,0,0,0,22446
